Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;15876;;
Nederland;L528;AantalGeldigeStemmen;;10516041;;
Nederland;L528;AantalOngeldigeStemmen;;31539;;
Nederland;L528;Kiesgerechtigden;;12950685;;
Nederland;L528;Opkomst;;10563456;;
Nederland;L528;Partij;VVD;2238351;33;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);1372941;20;
Nederland;L528;Partij;CDA;1301796;19;
Nederland;L528;Partij;Democraten 66 (D66);1285819;19;
Nederland;L528;Partij;GROENLINKS;959600;14;
Nederland;L528;Partij;SP (Socialistische Partij);955633;14;
Nederland;L528;Partij;Partij van de Arbeid (P.v.d.A.);599699;9;
Nederland;L528;Partij;ChristenUnie;356271;5;
Nederland;L528;Partij;Partij voor de Dieren;335214;5;
Nederland;L528;Partij;50PLUS;327131;4;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);218950;3;
Nederland;L528;Partij;DENK;216147;3;
Nederland;L528;Partij;Forum voor Democratie;187162;2;
Nederland;L528;Partij;VNL (VoorNederland);38209;;
Nederland;L528;Partij;Piratenpartij;35478;;
Nederland;L528;Partij;Artikel 1;28700;;
Nederland;L528;Partij;NIEUWE WEGEN;14362;;
Nederland;L528;Partij;OndernemersPartij;12570;;
Nederland;L528;Partij;Lokaal in de Kamer;6858;;
Nederland;L528;Partij;Niet Stemmers;6025;;
Nederland;L528;Partij;De Burger Beweging;5221;;
Nederland;L528;Partij;GeenPeil;4945;;
Nederland;L528;Partij;JEZUS LEEFT;3099;;
Nederland;L528;Partij;Vrijzinnige Partij;2938;;
Nederland;L528;Partij;Libertarische Partij (LP);1492;;
Nederland;L528;Partij;MenS en Spirit / Basisinkomen Partij / V-R;726;;
Nederland;L528;Partij;StemNL;527;;
Nederland;L528;Partij;Vrije Democratische Partij (VDP);177;;
