Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;1341744;;
Nederland;L528;AantalOngeldigeStemmen;;0;;
Nederland;L528;Kiesgerechtigden;;1517380;;
Nederland;L528;Opkomst;;1341744;;
Nederland;L528;Partij;RKSP;402962;30;
Nederland;L528;Partij;SDAP;294495;22;
Nederland;L528;Partij;ARP;180187;13;
Nederland;L528;Partij;CHU;88039;7;
Nederland;L528;Partij;Liberale Unie;83084;6;
Nederland;L528;Partij;VDB;70674;5;
Nederland;L528;Partij;Bond van Vrije Liberalen;50999;4;
Nederland;L528;Partij;Economische Bond;41691;3;
Nederland;L528;Partij;Sociaal Democratische Partij;31010;2;
Nederland;L528;Partij;Middenstandspartij;12674;1;
Nederland;L528;Partij;Christen-Democratische Partij;10653;1;
Nederland;L528;Partij;Plattelandersbond;9089;1;
Nederland;L528;Partij;Socialistische Partij;8951;1;
Nederland;L528;Partij;Bond van Christen-Socialisten;8415;1;
Nederland;L528;Partij;Christelijk-Sociale Partij;8153;1;
Nederland;L528;Partij;Neutrale Partij;7153;1;
Nederland;L528;Partij;Verbond Democratisering Weermacht;6828;1;
Nederland;L528;Partij;Algemene Staatspartij;6711;;
Nederland;L528;Partij;Politie Partij;6160;;
Nederland;L528;Partij;SGP;5180;;
Nederland;L528;Partij;Algemeen Vrijzinnige Partij;2691;;
Nederland;L528;Partij;Groep Van der Zwaag;2649;;
Nederland;L528;Partij;Groep Alberda;735;;
Nederland;L528;Partij;Groep Kuiper;568;;
Nederland;L528;Partij;Amsterdamse Politie- en Brandweerpartij;417;;
Nederland;L528;Partij;Nationale Bond van Protestantse Kiezers;378;;
Nederland;L528;Partij;Unionisten-Liga (Volkswelvaartspartij);301;;
Nederland;L528;Partij;Neutrale en Koloniale Bond;237;;
Nederland;L528;Partij;Volkspartij;236;;
Nederland;L528;Partij;Groep Stoffel;235;;
Nederland;L528;Partij;Groep Braam;189;;
