Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;107097;;
Nederland;L528;AantalGeldigeStemmen;;3721828;;
Nederland;L528;AantalOngeldigeStemmen;;68585;;
Nederland;L528;Kiesgerechtigden;;4136519;;
Nederland;L528;Opkomst;;3897510;;
Nederland;L528;Partij;RKSP;1037355;28;
Nederland;L528;Partij;SDAP;798632;22;
Nederland;L528;Partij;ARP;499892;14;
Nederland;L528;Partij;CHU;339813;10;
Nederland;L528;Partij;Vrijheidsbond;258750;7;
Nederland;L528;Partij;VDB;188952;6;
Nederland;L528;Partij;CPN;118238;4;
Nederland;L528;Partij;SGP;93275;3;
Nederland;L528;Partij;RSP;48405;1;
Nederland;L528;Partij;NBTM;47688;1;
Nederland;L528;Partij;Rooms Katholieke Volks Partij;40905;1;
Nederland;L528;Partij;CDU;38464;1;
Nederland;L528;Partij;HGSP;33930;1;
Nederland;L528;Partij;VNH;30332;1;
Nederland;L528;Partij;Onafhankelijk Socialistische Partij;25616;;
Nederland;L528;Partij;Katholiek Democratische Bond;20487;;
Nederland;L528;Partij;Algemeen Nederlandse Fascistenbond;15814;;
Nederland;L528;Partij;Algemeene Democratische Unie;14192;;
Nederland;L528;Partij;Nationaal Verbond Plicht, Orde, Recht;10466;;
Nederland;L528;Partij;Nederlandse Christelijke Arbeiderspartij;6602;;
Nederland;L528;Partij;Limburgsche Federatie;6358;;
Nederland;L528;Partij;Verbond van Nationalisten;5989;;
Nederland;L528;Partij;RK Arbeiderspartij;5967;;
Nederland;L528;Partij;Recht en Vrijheid;4164;;
Nederland;L528;Partij;Marktkooplieden;3184;;
Nederland;L528;Partij;Lijst Wolswinkel;2742;;
Nederland;L528;Partij;Onafhankelijke Zakenlui;2257;;
Nederland;L528;Partij;Nationaal-Socialistische Partij;2083;;
Nederland;L528;Partij;Nederlandsche Fascisten Unie;1733;;
Nederland;L528;Partij;Lijst Jacobs;1629;;
Nederland;L528;Partij;RK Bouwvakarbeiders;1330;;
Nederland;L528;Partij;Handeldrijvende Middenstand;1123;;
Nederland;L528;Partij;Volkswelvaartspartij;1040;;
Nederland;L528;Partij;Bond van Belastingbetalers;910;;
Nederland;L528;Partij;Lijst Eijking;772;;
Nederland;L528;Partij;Nieuwe Socialistische Partij;746;;
Nederland;L528;Partij;Lijst Engels;725;;
Nederland;L528;Partij;Hoofd- en handarbeiders;702;;
Nederland;L528;Partij;Nationaal Verbond voor Arbeidersbelangen;551;;
Nederland;L528;Partij;Lijst Bongers;476;;
Nederland;L528;Partij;Lijst De Wit;452;;
Nederland;L528;Partij;Voor Algemeen Welzijn;371;;
Nederland;L528;Partij;Zuiderzee Partij;311;;
Nederland;L528;Partij;Algemeene Nederlandse Huurdersbond;294;;
Nederland;L528;Partij;Oranjefascisten;261;;
Nederland;L528;Partij;Universeele Partij;237;;
Nederland;L528;Partij;Nationale Werkliedenpartij;227;;
Nederland;L528;Partij;Anti-crisis Partij;197;;
Nederland;L528;Partij;Proletarische Groep;185;;
Nederland;L528;Partij;Centrale Democratische Arbeiderspartij;182;;
Nederland;L528;Partij;Lijst Triesscheijn;172;;
Nederland;L528;Partij;Opbouw en Verbroedering;142;;
Nederland;L528;Partij;Algemeene Arbeidersbond;97;;
Nederland;L528;Partij;Lijst Groothuis;90;;
