Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
's-Gravenhage;G0518;11434;Groep de Mos / Hart voor Den Haag;32632;8;
's-Gravenhage;G0518;11434;VVD;26990;7;
's-Gravenhage;G0518;11434;Democraten 66 (D66);23973;6;
's-Gravenhage;G0518;11434;GROENLINKS;20684;5;
's-Gravenhage;G0518;11434;CDA;12618;3;
's-Gravenhage;G0518;11434;Partij van de Arbeid (P.v.d.A.);12567;3;
's-Gravenhage;G0518;11434;Haagse Stadspartij;10897;3;
's-Gravenhage;G0518;11434;Partij voor de Dieren;10201;2;
's-Gravenhage;G0518;11434;PVV (Partij voor de Vrijheid);9036;2;
's-Gravenhage;G0518;11434;Islam Democraten;6943;1;
's-Gravenhage;G0518;11434;ChristenUnie-SGP;6129;1;
's-Gravenhage;G0518;11434;SP (Socialistische Partij);5176;1;
's-Gravenhage;G0518;11434;NIDA;4481;1;
's-Gravenhage;G0518;11434;50PLUS;4444;1;
's-Gravenhage;G0518;11434;Partij van de Eenheid;4026;1;
's-Gravenhage;G0518;11434;Samen070;1360;;
's-Gravenhage;G0518;11434;Haagse Toekomst;843;;
's-Gravenhage;G0518;11434;Dynamo Den Haag;548;;
's-Gravenhage;G0518;11434;Bond voor Studenten Actie;362;;
's-Gravenhage;G0518;11434;Blanco lijst 14;326;;
's-Hertogenbosch;G0796;10054;VVD;7955;5;
's-Hertogenbosch;G0796;10054;Democraten 66 (D66);7572;5;
's-Hertogenbosch;G0796;10054;GROENLINKS;6101;4;
's-Hertogenbosch;G0796;10054;CDA;5629;4;
's-Hertogenbosch;G0796;10054;Rosmalens Belang;5218;3;
's-Hertogenbosch;G0796;10054;SP (Socialistische Partij);4831;3;
's-Hertogenbosch;G0796;10054;De Bossche Groenen;4244;3;
's-Hertogenbosch;G0796;10054;Partij van de Arbeid (P.v.d.A.);4155;3;
's-Hertogenbosch;G0796;10054;Bossche Volks Partij;4063;2;
's-Hertogenbosch;G0796;10054;"Leefbaar 's-Hertogenbosch"  Paul Kagie;3231;2;
's-Hertogenbosch;G0796;10054;RAADSGROEPERING '' BOSCH BELANG '';3044;2;
's-Hertogenbosch;G0796;10054;PVV (Partij voor de Vrijheid);2183;1;
's-Hertogenbosch;G0796;10054;50PLUS;1936;1;
's-Hertogenbosch;G0796;10054;gewoon ge-DREVEN;1426;1;
's-Hertogenbosch;G0796;10054;KNILLIS;1051;;
's-Hertogenbosch;G0796;10054;Lokaal Liberaal 's-Hertogenbosch;697;;
's-Hertogenbosch;G0796;10054;Buitengewoon Ongewoon;267;;
Aa en Hunze;G1680;10787;Combinatie Gemeentebelangen;5579;10;
Aa en Hunze;G1680;10787;VVD;2241;4;
Aa en Hunze;G1680;10787;Partij van de Arbeid (P.v.d.A.);1950;3;
Aa en Hunze;G1680;10787;GROENLINKS;1623;2;
Aa en Hunze;G1680;10787;Democraten 66 (D66);908;1;
Aa en Hunze;G1680;10787;CDA;799;1;
Aalsmeer;G0358;11264;CDA;4153;8;
Aalsmeer;G0358;11264;VVD;3394;6;
Aalsmeer;G0358;11264;Absoluut Aalsmeer;2393;4;
Aalsmeer;G0358;11264;GROENLINKS;1135;2;
Aalsmeer;G0358;11264;Democraten 66 (D66);1105;2;
Aalsmeer;G0358;11264;Partij van de Arbeid (P.v.d.A.);906;1;
Aalsmeer;G0358;11264;Het Aalsmeers Collectief;245;;
Aalten;G0197;11046;CDA;3536;6;
Aalten;G0197;11046;GemeenteBelangen;3063;5;
Aalten;G0197;11046;Progressieve Partij;1658;3;
Aalten;G0197;11046;VVD;1543;3;
Aalten;G0197;11046;Democraten 66 (D66);1186;2;
Aalten;G0197;11046;ChristenUnie;939;1;
Aalten;G0197;11046;HenkMeerdinkVolksvertegenwoordiging;678;1;
Achtkarspelen;G0059;10199;CDA;3176;6;
Achtkarspelen;G0059;10199;FNP;2004;4;
Achtkarspelen;G0059;10199;Gemeente Belangen Achtkarspelen GBA;1876;3;
Achtkarspelen;G0059;10199;ChristenUnie;1661;3;
Achtkarspelen;G0059;10199;Partij van de Arbeid (P.v.d.A.);1200;2;
Achtkarspelen;G0059;10199;PVV (Partij voor de Vrijheid);992;1;
Achtkarspelen;G0059;10199;GROENLINKS;684;1;
Achtkarspelen;G0059;10199;VVD;613;1;
Alblasserdam;G0482;11327;Staatkundig Gereformeerde Partij (SGP);2294;5;
Alblasserdam;G0482;11327;Partij van de Arbeid (P.v.d.A.);1780;4;
Alblasserdam;G0482;11327;CDA;1481;3;
Alblasserdam;G0482;11327;VVD;1385;3;
Alblasserdam;G0482;11327;Democraten 66 (D66);1073;2;
Alblasserdam;G0482;11327;ChristenUnie;920;2;
Albrandswaard;G0613;10124;VVD;2222;5;
Albrandswaard;G0613;10124;Echt voor Albrandswaard (EVA);1886;4;
Albrandswaard;G0613;10124;Stem-Lokaal;1394;3;
Albrandswaard;G0613;10124;Leefbaar Albrandswaard;1377;3;
Albrandswaard;G0613;10124;CDA;1168;2;
Albrandswaard;G0613;10124;Partij van de Arbeid (P.v.d.A.);710;1;
Albrandswaard;G0613;10124;GROENLINKS;671;1;
Albrandswaard;G0613;10124;ChristenUnie-SGP;570;1;
Albrandswaard;G0613;10124;Nieuwe Albrandswaardse Partij (NAP);524;1;
Alkmaar;G0361;10527;Onafhankelijke Partij Alkmaar (OPA);7269;6;
Alkmaar;G0361;10527;GROENLINKS;6464;6;
Alkmaar;G0361;10527;VVD;6422;6;
Alkmaar;G0361;10527;Partij van de Arbeid (P.v.d.A.);4997;4;
Alkmaar;G0361;10527;Democraten 66 (D66);4685;4;
Alkmaar;G0361;10527;CDA;4380;4;
Alkmaar;G0361;10527;B.A.S.;2828;2;
Alkmaar;G0361;10527;SeniorenPartij Alkmaar (SPA) ouderen;2755;2;
Alkmaar;G0361;10527;Leefbaar Alkmaar;2583;2;
Alkmaar;G0361;10527;Partij voor de Dieren;2446;2;
Alkmaar;G0361;10527;ChristenUnie;1121;1;
Alkmaar;G0361;10527;DENK;647;;
Alkmaar;G0361;10527;Democratische Partij Alkmaar;493;;
Alkmaar;G0361;10527;Partij voor Iedereen;364;;
Almelo;G0141;11053;CDA;4072;6;
Almelo;G0141;11053;VVD;4046;6;
Almelo;G0141;11053;Lokaal Almelo Samen;3548;5;
Almelo;G0141;11053;PVV (Partij voor de Vrijheid);2211;3;
Almelo;G0141;11053;Democraten 66 (D66);1969;2;
Almelo;G0141;11053;ChristenUnie;1942;2;
Almelo;G0141;11053;Partij van de Arbeid (P.v.d.A.);1705;2;
