Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;21387;;
Nederland;L528;AantalGeldigeStemmen;;7394045;;
Nederland;L528;AantalOngeldigeStemmen;;29855;;
Nederland;L528;Kiesgerechtigden;;8915179;;
Nederland;L528;Opkomst;;7445287;;
Nederland;L528;Partij;PvdA;2021454;43;
Nederland;L528;Partij;KVP;1305401;27;
Nederland;L528;Partij;VVD;1068375;22;
Nederland;L528;Partij;ARP;653609;14;
Nederland;L528;Partij;PPR;354829;7;
Nederland;L528;Partij;CHU;354463;7;
Nederland;L528;Partij;CPN;330398;7;
Nederland;L528;Partij;D66;307048;6;
Nederland;L528;Partij;DS70;304714;6;
Nederland;L528;Partij;SGP;163114;3;
Nederland;L528;Partij;Boeren Partij;143239;3;
Nederland;L528;Partij;GPV;131236;2;
Nederland;L528;Partij;PSP;111262;2;
Nederland;L528;Partij;RKPN;67658;1;
Nederland;L528;Partij;Democratische Middenpartij;41262;;
Nederland;L528;Partij;Nederlandse Middenstands Partij;32970;;
Nederland;L528;Partij;Lijst ir. W. Stam;1547;;
Nederland;L528;Partij;Partij van het Recht;656;;
Nederland;L528;Partij;Anti-Woningnood Aktie;574;;
Nederland;L528;Partij;Nieuwe Roomse Partij;236;;
