Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
's-Gravenhage;G0518;11434;Hart voor Den Haag / Groep de Mos;30988;9;
's-Gravenhage;G0518;11434;D66;27937;8;
's-Gravenhage;G0518;11434;VVD;24298;7;
's-Gravenhage;G0518;11434;GROENLINKS;18223;5;
's-Gravenhage;G0518;11434;Partij voor de Dieren;12363;3;
's-Gravenhage;G0518;11434;Partij van de Arbeid (P.v.d.A.);11764;3;
's-Gravenhage;G0518;11434;CDA;11455;3;
's-Gravenhage;G0518;11434;DENK;10222;2;
's-Gravenhage;G0518;11434;Haagse Stadspartij;6471;1;
's-Gravenhage;G0518;11434;SP (Socialistische Partij);5337;1;
's-Gravenhage;G0518;11434;PVV (Partij voor de Vrijheid);5324;1;
's-Gravenhage;G0518;11434;ChristenUnie-SGP;4971;1;
's-Gravenhage;G0518;11434;Forum voor Democratie;3896;1;
's-Gravenhage;G0518;11434;Blanco (Roopram, J.M.);2347;0;
's-Gravenhage;G0518;11434;50PLUS;2223;0;
's-Gravenhage;G0518;11434;Haags Belang;1860;0;
's-Gravenhage;G0518;11434;LEF - Voor de Nieuwe Generatie;1618;0;
's-Gravenhage;G0518;11434;Blanco;529;0;
's-Gravenhage;G0518;11434;INL Den Haag;377;0;
's-Gravenhage;G0518;11434;Nationale Bond tegen Overheidszaken - DH;341;0;
's-Gravenhage;G0518;11434;Blanco (Ramdhani, N.);85;0;
's-Hertogenbosch;G0796;10054;D66;8418;6;
's-Hertogenbosch;G0796;10054;VVD;7037;5;
's-Hertogenbosch;G0796;10054;GROENLINKS;5996;4;
's-Hertogenbosch;G0796;10054;Rosmalens Belang;5488;4;
's-Hertogenbosch;G0796;10054;CDA;4858;3;
's-Hertogenbosch;G0796;10054;De Bossche Groenen;4845;3;
's-Hertogenbosch;G0796;10054;Partij van de Arbeid (P.v.d.A.);4222;3;
's-Hertogenbosch;G0796;10054;"Leefbaar 's-Hertogenbosch" Paul Kagie;3130;2;
's-Hertogenbosch;G0796;10054;SP (Socialistische Partij);2828;2;
's-Hertogenbosch;G0796;10054;Partij voor de Dieren;2094;1;
's-Hertogenbosch;G0796;10054;Volt;2025;1;
's-Hertogenbosch;G0796;10054;RAADSGROEPERING ''BOSCH-BELANG'';1854;1;
's-Hertogenbosch;G0796;10054;gewoon ge-DREVEN;1830;1;
's-Hertogenbosch;G0796;10054;PVV (Partij voor de Vrijheid);1782;1;
's-Hertogenbosch;G0796;10054;VOOR Den Bosch Joep Gersjes;1699;1;
's-Hertogenbosch;G0796;10054;50PLUS;1543;1;
's-Hertogenbosch;G0796;10054;Forum voor Democratie;1322;0;
Aa en Hunze;G1680;10787;Gemeentebelangen Aa en Hunze;4983;9;
Aa en Hunze;G1680;10787;VVD;2150;3;
Aa en Hunze;G1680;10787;GROENLINKS;1941;3;
Aa en Hunze;G1680;10787;Partij van de Arbeid (P.v.d.A.);1886;3;
Aa en Hunze;G1680;10787;D66;1076;2;
Aa en Hunze;G1680;10787;CDA;934;1;
Aalsmeer;G0358;11264;Absoluut Aalsmeer;3428;6;
Aalsmeer;G0358;11264;CDA;3054;6;
Aalsmeer;G0358;11264;VVD;2754;5;
Aalsmeer;G0358;11264;D66;1635;3;
Aalsmeer;G0358;11264;GROENLINKS;1011;2;
Aalsmeer;G0358;11264;Partij van de Arbeid (P.v.d.A.);833;1;
Aalten;G0197;11046;CDA;3788;7;
Aalten;G0197;11046;GemeenteBelangen;2530;4;
Aalten;G0197;11046;BBB - HMV;2347;4;
Aalten;G0197;11046;Progressieve Partij;1597;2;
Aalten;G0197;11046;VVD;1087;2;
Aalten;G0197;11046;D66;1019;1;
